issue, severity, confidence, filename, location, sample, description, url
dashboard\src\renderer\index.html","7:0","default-src 'self'; script-src 'self' 'unsafe-inline' 'unsafe-eval'; style-src 'self' 'unsafe-inline' https://fonts.googleapis.com; font-src 'self' https://fonts.gstatic.com; img-src 'self' data: https:; connect-src 'self' https://fonts.googleapis.com https://fonts.gstatic.com ws://localhost:* http://localhost:* https://o4510468375773184.ingest.us.sentry.io; object-src 'none'; base-uri 'self'; form-action 'self';","One or more CSP directives detected are vulnerable",https://github.com/doyensec/electronegativity/wiki/CSP_GLOBAL_CHECK
HTTP_RESOURCES_JS_CHECK,"MEDIUM","CERTAIN","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\main.ts","525:12","mainWindow.loadURL('http://localhost:5173').catch((err) => {","Do not allow insecure HTTP connections",https://github.com/doyensec/electronegativity/wiki/HTTP_RESOURCES_JS_CHECK
HTTP_RESOURCES_JS_CHECK,"MEDIUM","CERTAIN","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\main.ts","647:12","mainWindow.loadURL(`http://localhost:${port}`).then(() => {","Do not allow insecure HTTP connections",https://github.com/doyensec/electronegativity/wiki/HTTP_RESOURCES_JS_CHECK
AUXCLICK_JS_CHECK,"MEDIUM","FIRM","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\main.ts","357:15","mainWindow = new BrowserWindow({","Limit navigation flows to untrusted origins. Middle-click may cause Electron to open a link within a new window",https://github.com/doyensec/electronegativity/wiki/AUXCLICK_JS_CHECK
REMOTE_MODULE_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\main.ts","357:15","mainWindow = new BrowserWindow({","Disable the remote module",https://github.com/doyensec/electronegativity/wiki/REMOTE_MODULE_JS_CHECK
SANDBOX_JS_CHECK,"MEDIUM","FIRM","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\main.ts","357:15","mainWindow = new BrowserWindow({","Use sandbox for untrusted origins",https://github.com/doyensec/electronegativity/wiki/SANDBOX_JS_CHECK
PRELOAD_JS_CHECK,"MEDIUM","FIRM","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\main.ts","364:6","preload: path.join(__dirname, 'preload/preload.js'),","Review the use of preload scripts",https://github.com/doyensec/electronegativity/wiki/PRELOAD_JS_CHECK
OPEN_EXTERNAL_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\restore.ts","805:20","await shell.openExternal(url);","Review the use of openExternal",https://github.com/doyensec/electronegativity/wiki/OPEN_EXTERNAL_JS_CHECK
OPEN_EXTERNAL_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\restore.ts","841:20","await shell.openExternal(url);","Review the use of openExternal",https://github.com/doyensec/electronegativity/wiki/OPEN_EXTERNAL_JS_CHECK
OPEN_EXTERNAL_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\restore.ts","917:20","await shell.openExternal(metadata.url);","Review the use of openExternal",https://github.com/doyensec/electronegativity/wiki/OPEN_EXTERNAL_JS_CHECK
OPEN_EXTERNAL_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Trashard Mays\Desktop\flowstate-dashboard\src\main\restore.ts","1014:18","await shell.openExternal(metadata.url);","Review the use of openExternal",https://github.com/doyensec/electronegativity/wiki/OPEN_EXTERNAL_JS_CHECK
